,surr.temp,obj.temp,steps,state
0,33.17,32.19,9.22,Active
1,33.43,34.37,9.21,Active
2,33.43,35.59,9.17,Active
3,33.87,35.23,8.96,Active
4,33.69,33.39,9.34,Active
5,34.21,37.25,9.11,Active
6,34.21,41.27,9.11,Period Time
7,34.45,36.89,9.18,Active
8,34.55,32.49,9.21,Active
9,34.63,33.07,9.2,Active
10,34.81,33.55,9.18,Active
11,34.61,31.21,9.15,Active
12,34.57,40.67,9.24,Period Time
13,34.77,39.37,9.07,Period Time
14,34.69,31.27,9.07,Active
15,34.67,31.55,9.07,Active
16,34.57,32.21,8.61,Active
17,34.75,40.17,9.15,Period Time
18,34.79,32.69,9.24,Active
25,33.93,30.71,9.27,Active
26,34.09,35.97,9.58,Active
27,34.09,33.03,9.2,Active
28,33.57,32.95,9.22,Active
29,33.41,32.89,9.28,Active
30,33.19,32.81,9.06,Active
31,33.25,33.63,9.08,Active
32,33.13,33.49,9.14,Active
33,32.97,33.51,9.2,Active
34,32.87,33.39,9.21,Active
35,32.69,33.27,9.11,Active
36,32.51,32.91,9.11,Active
37,33.25,37.63,12.86,Active
38,33.61,39.15,8.6,Period Time
39,33.89,37.45,9.87,Active
40,34.07,36.81,9.91,Active
41,34.07,33.85,9.73,Active
42,34.07,36.73,9.78,Active
43,33.95,34.01,9.21,Active
44,33.87,38.45,9.27,Active
45,33.75,37.41,9.4,Active
46,33.69,32.25,9.53,Active
47,33.57,30.79,9.13,Active
48,33.31,30.17,9.18,Active
49,33.07,33.13,9.26,Active
50,33.13,42.35,9.14,Period Time
51,33.69,38.25,9.24,Active
52,33.89,36.89,9.55,Active
53,34.07,34.07,8.95,Active
54,34.05,40.35,9.2,Period Time
55,34.17,46.29,9.06,Period Time
56,34.77,40.11,9.3,Period Time
57,35.01,38.35,9.1,Active
58,35.01,38.05,9.11,Active
59,35.19,37.79,9.08,Active
60,34.93,29.91,9.15,Active
61,34.55,30.09,9.11,Active
62,34.21,30.81,9.11,Active
63,33.89,30.63,9.07,Active
64,33.53,30.33,9.07,Active
65,33.31,38.29,9.31,Active
66,33.63,42.29,9.24,Period Time
67,33.87,40.39,9.16,Period Time
68,33.87,33.87,9.16,Active
69,34.07,31.27,9.14,Active
70,34.17,38.17,9.36,Active
71,34.13,39.33,9.25,Period Time
72,34.07,30.43,9.21,Active
73,34.25,31.47,9.21,Active
74,34.27,38.59,9.07,Active
75,34.17,32.25,9.08,Active
76,34.29,30.77,9.24,Active
77,34.15,38.71,9.26,Active
78,34.35,37.09,9.29,Active
79,34.21,36.37,9.24,Active
80,34.35,30.15,9.26,Active
81,34.13,39.49,9.13,Period Time
82,34.49,38.13,9.16,Active
83,34.43,30.67,8.83,Active
84,34.47,32.71,9.06,Active
85,34.37,30.77,10.81,Active
86,34.37,41.17,8.66,Period Time
87,34.57,35.59,9.29,Active
88,34.39,31.01,9.08,Active
89,34.43,32.39,9.1,Active
90,34.09,30.77,9.19,Active
91,33.77,31.07,9.27,Active
92,33.49,31.49,9.19,Active
93,33.23,33.13,9.43,Active
94,33.07,33.13,9.17,Active
95,32.97,32.47,9.19,Active
96,32.85,31.11,9.14,Active
97,32.95,31.63,8.98,Active
98,33.19,28.83,8.68,Active
99,32.93,31.33,10.02,Active
